Tractive System Board Rev8
Board Quantity,Ordering Quantity,Value,Reference,ATTRITION,CAPACITANCE,COLOR,CURRENT,CURRENT_RATED,CURRENT_SATURATION,DCR,DKPN,FUSE_TYPE,GAUGE,INDUCTANCE,MANUFACTURER,MOPN,MPN,POWER,RESISTANCE,TOLERANCE,VOLTAGE,VOLTAGE_CONTINUOUS,VOLTAGE_MAX,
2,12,CAPACITOR_1206_50V_0.1UF,"C39, C48",500,0.1µF,,,,,,445-14655-1-ND,,,,TDK Corporation,810-C3216NP01H104J1A,C3216NP01H104J160AA,,,5%,50V,,,
4,14,CAPACITOR_1206_50V_1NF,"C31, C38, C44, C47",250,1nF,,,,,,478-KGM31BR71H102KTCT-ND,,,,KYOCERA AVX,581-12065C102K,KGM31BR71H102KT,,,10%,50V,,,
1,11,CAPACITOR_1206_630V_10NF,C55,1000,10nF,,,,,,445-9083-1-ND,,,,TDK Corporation,810-CGA5L4C0G2J103J,CGA5L4C0G2J103J160AA,,,5%,630V,,,
1,11,CAPACITOR_1206_630V_47PF,C54,1000,47pF,,,,,,490-5041-1-ND,,,,Murata Electronics,81-GCM31A7U2J470JX1D,GCM31A7U2J470JX01D,,,5%,630V,,,
1,3,CAPACITOR_1812_1000V_0.1UF,C35,200,0.1uF,,,,,,399-C1812W104KDRAC7800CT-ND,,,,KEMET,80-C1812W104KDR,C1812W104KDRAC7800,,,10%,1000V,,,
1,3,CAPACITOR_2220_35V_47UF,C3,200,47µF,,,,,,445-CGA9N1X7R1V476M230KCCT-ND,,,,TDK Corporation,810-CGA9N1X7R1V476M2,CGA9N1X7R1V476M230KC,,,20%,35V,,,
1,3,CONNECTOR-5_MICRO_V6S_,J2,200,,,,,,,,,,,Molex,,43650-0617,,,,,,,
1,3,CONNECTOR-5_MICRO_V7S_,J1,200,,,,,,,,,,,Molex,,43650-0717,,,,,,,
1,3,CONNECTOR-8_μF_T_V_BLACK,J3,200,,,,,,,WM1798-ND,,,,Molex,538-43045-0814,430450814,,,,,,,
14,28,CRIMP_MICROFIT_20-24,"O9, O10, O11, O12, O13, O14, O15, O16, O17, O18, O19, O20, O21, O22",100,,,,,,,WM2776CT-ND,,20-24,,Molex,538-43030-0003,430300003,,,,,,,
2,10,FUSE_HOLDER_122,"F1, F2",100,,,,,,,F3783-ND,"1 1/4 Cartridge""",,,Littelfuse,576-01220088Z,01220088Z,,,,,,,
1,5,INDUCTOR_SRR0745A_1MH,L1,200,,,,200mA,240mA,4.1Ω,SRR0745A-102MCT-ND,,,1mH,Bourns Inc.,652-SRR0745A-102M,SRR0745A-102M,,,20%,,,,
2,12,LED_0603_BLUE,"D3, D4",500,,Blue,,,,,754-1789-1-ND,,,,Kingbright,604-APT1608VBC/D,APT1608VBC/D,,,,,,,
